Loading Hopkins155 data from: data/Hopkins155/
finished loading data for 157 sequences
cuda
Full Training Epoch 153/500, Avg Loss: 0.4971
Full Training Epoch 154/500, Avg Loss: 0.4963
Full Training Epoch 155/500, Avg Loss: 0.4971
Full Training Epoch 156/500, Avg Loss: 0.4962
Full Training Epoch 157/500, Avg Loss: 0.4960
Full Training Epoch 158/500, Avg Loss: 0.5009
Full Training Epoch 159/500, Avg Loss: 0.4977
Full Training Epoch 160/500, Avg Loss: 0.4960
Full Training Epoch 161/500, Avg Loss: 0.4960
Full Training Epoch 162/500, Avg Loss: 0.4977
Full Training Epoch 163/500, Avg Loss: 0.4947
Full Training Epoch 164/500, Avg Loss: 0.4958
Full Training Epoch 165/500, Avg Loss: 0.4958
Full Training Epoch 166/500, Avg Loss: 0.4973
Full Training Epoch 167/500, Avg Loss: 0.4988
Full Training Epoch 168/500, Avg Loss: 0.5016
Full Training Epoch 169/500, Avg Loss: 0.4958
Full Training Epoch 170/500, Avg Loss: 0.4961
Full Training Epoch 171/500, Avg Loss: 0.4949
Full Training Epoch 172/500, Avg Loss: 0.4947
Full Training Epoch 173/500, Avg Loss: 0.4982
Full Training Epoch 174/500, Avg Loss: 0.4975
Full Training Epoch 175/500, Avg Loss: 0.4956
Full Training Epoch 176/500, Avg Loss: 0.4946
Full Training Epoch 177/500, Avg Loss: 0.4942
Full Training Epoch 178/500, Avg Loss: 0.4969
Full Training Epoch 179/500, Avg Loss: 0.4974
Full Training Epoch 180/500, Avg Loss: 0.4951
Full Training Epoch 181/500, Avg Loss: 0.4969
Full Training Epoch 182/500, Avg Loss: 0.4964
Full Training Epoch 183/500, Avg Loss: 0.4966
Full Training Epoch 184/500, Avg Loss: 0.4954
Full Training Epoch 185/500, Avg Loss: 0.4955
Full Training Epoch 186/500, Avg Loss: 0.4945
Full Training Epoch 187/500, Avg Loss: 0.4957
Full Training Epoch 188/500, Avg Loss: 0.4949
Full Training Epoch 189/500, Avg Loss: 0.4947
Full Training Epoch 190/500, Avg Loss: 0.4963
Full Training Epoch 191/500, Avg Loss: 0.4975
Full Training Epoch 192/500, Avg Loss: 0.4990
Full Training Epoch 193/500, Avg Loss: 0.4963
Full Training Epoch 194/500, Avg Loss: 0.4949
Full Training Epoch 195/500, Avg Loss: 0.4957
Full Training Epoch 196/500, Avg Loss: 0.5006
Full Training Epoch 197/500, Avg Loss: 0.4977
Full Training Epoch 198/500, Avg Loss: 0.4987
Full Training Epoch 199/500, Avg Loss: 0.4960
Full Training Epoch 200/500, Avg Loss: 0.4943
Full Training Epoch 201/500, Avg Loss: 0.4941
Full Training Epoch 202/500, Avg Loss: 0.4935
Full Training Epoch 203/500, Avg Loss: 0.4935
Full Training Epoch 204/500, Avg Loss: 0.4933
Full Training Epoch 205/500, Avg Loss: 0.4940
Full Training Epoch 206/500, Avg Loss: 0.4940
Full Training Epoch 207/500, Avg Loss: 0.4962
Full Training Epoch 208/500, Avg Loss: 0.4951
Full Training Epoch 209/500, Avg Loss: 0.4950
Full Training Epoch 210/500, Avg Loss: 0.4939
Full Training Epoch 211/500, Avg Loss: 0.4939
Full Training Epoch 212/500, Avg Loss: 0.4964
Full Training Epoch 213/500, Avg Loss: 0.4970
Full Training Epoch 214/500, Avg Loss: 0.4952
Full Training Epoch 215/500, Avg Loss: 0.4943
Full Training Epoch 216/500, Avg Loss: 0.4940
Full Training Epoch 217/500, Avg Loss: 0.4949
Full Training Epoch 218/500, Avg Loss: 0.4964
Full Training Epoch 219/500, Avg Loss: 0.4952
